,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'pain_aux_raisins'}),frozenset({'croissant'}),0.01467164865145382,0.08441943567160418,0.005612146553385822,0.3825164224355735,4.531141666518377,0.004373574253858038,1.4827609957495052,0.7909090075092386
1,frozenset({'croissant'}),frozenset({'pain_aux_raisins'}),0.08441943567160418,0.01467164865145382,0.005612146553385822,0.06647931852112057,4.531141666518378,0.004373574253858038,1.055497077780423,0.8511594706113441
2,frozenset({'pain_au_chocolat'}),frozenset({'pain_aux_raisins'}),0.0776878252746764,0.01467164865145382,0.00584938392420266,0.07529344403091898,5.131900703160453,0.0047095754472770745,1.0655578734552544,0.8729586848220889
3,frozenset({'pain_aux_raisins'}),frozenset({'pain_au_chocolat'}),0.01467164865145382,0.0776878252746764,0.00584938392420266,0.39868620515411823,5.131900703160453,0.0047095754472770745,1.533828398135643,0.8171290534182669
4,frozenset({'pain_au_chocolat'}),"frozenset({'croissant', 'traditional_baguette'})",0.0776878252746764,0.03632697240632831,0.01675488931393918,0.21566943410630784,5.936895365074171,0.013932725828878355,1.22865672906121,0.9016055708102246
5,"frozenset({'croissant', 'traditional_baguette'})",frozenset({'pain_au_chocolat'}),0.03632697240632831,0.0776878252746764,0.01675488931393918,0.46122448979591835,5.936895365074172,0.013932725828878355,1.7118672939977595,0.8629086536072164
6,frozenset({'pain_au_chocolat'}),frozenset({'croissant'}),0.0776878252746764,0.08441943567160418,0.03979656895452456,0.5122626204790534,6.068064971101922,0.033238206586282196,1.8771999087453062,0.9055532845733724
7,frozenset({'croissant'}),frozenset({'pain_au_chocolat'}),0.08441943567160418,0.0776878252746764,0.03979656895452456,0.47141477123035036,6.068064971101922,0.033238206586282196,1.744869369263542,0.912211171539199
8,frozenset({'pain_au_chocolat'}),"frozenset({'baguette', 'croissant'})",0.0776878252746764,0.010898091721898493,0.005241463161484512,0.06746826987307948,6.190833367415101,0.004394814115966265,1.060663006226589,0.9090965958347986
9,"frozenset({'baguette', 'croissant'})",frozenset({'pain_au_chocolat'}),0.010898091721898493,0.0776878252746764,0.005241463161484512,0.4809523809523809,6.1908333674151015,0.004394814115966265,1.776931712773559,0.8477092717366717
10,"frozenset({'pain_au_chocolat', 'traditional_baguette'})",frozenset({'croissant'}),0.031048440905653663,0.08441943567160418,0.01675488931393918,0.5396370582617,6.392331978632447,0.014133797454200746,1.9888233420162456,0.8705931271402276
11,frozenset({'croissant'}),"frozenset({'pain_au_chocolat', 'traditional_baguette'})",0.08441943567160418,0.031048440905653663,0.01675488931393918,0.19847194168788967,6.392331978632447,0.014133797454200746,1.2088803991900212,0.9213417155683322
12,"frozenset({'pain_au_chocolat', 'baguette'})",frozenset({'croissant'}),0.00885933306644129,0.08441943567160418,0.005241463161484512,0.5916317991631799,7.008241579162613,0.004493563263588756,2.242046668795969,0.8649739471322208
13,frozenset({'croissant'}),"frozenset({'pain_au_chocolat', 'baguette'})",0.08441943567160418,0.00885933306644129,0.005241463161484512,0.06208834635988407,7.008241579162614,0.004493563263588756,1.0567526942296286,0.9363576382485181
